Meld,Amount,Notes,Unit,Property Name,Address line 1,City,State,Postal code
TL0Y2PQ,172.50,"House has been rewired and panel replaced and modernized. 
The breaker attached to microwave and plug is a GFCI breaker. Outlet at microwave was a GFCI outlet. Putting a GFCI outlet on a GFCI protected breaker confused the system and would throw one or both. 

Replaced GFCI outlet with standard outlet. Also replaced plug at counter to eliminate the chance of a short. 

Breaker does not throw after repairs. 

Security door was unlevel and latch wasn't functioning properly. 
Adjusted hinge and frame. Added and replaced old screws. 
The latch had multiple screws loose, causing it to not have full range of motion. 
Tightened screws and reinstalled. 
Latch opens and closes much better, but door latch is aged and worn. 
Will have to be replaced in the future.",1,,1006 South 43rd Street,Louisville,KY,40211
TIPY046,108.00,,2,,2322 West Chestnut Street - 2,Louisville,KY,40211
T94XB98,494.00,"Cut hole in bathroom ceiling 
Repaired upstairs shower faucet replaced stem and repaired packing nut 
Repaired unit 1 shower faucet and tub spout 
Repaired shower head rope style 
Installed fill valve in toilet 
Filled holes in dining room area pest control was there 
installed access panel 
Sprayed for mold and mildew",607-1,,607 S 44th Street - 1,Louisville,KY,40211
T4VJE3K,200.00,"Repaired light fixture in common area 
Repaired two lights in the basement",1,,2322 West Chestnut Street - 1,Louisville,KY,40211
TE1JR60,180.00,,1,,12513 East Orell Road - 1,Louisville,KY,40272
T8MY2YCB,69.00,,1,,12513 East Orell Road - 1,Louisville,KY,40272
TELJ1EBB,314.00,"Pulled toilet 
Repaired flange 
Installed new fill valve and flap and handle 
Installed new tank bolt kit",649-2,,649 S 44th Street -2,Louisville,KY,40211
T16TH1D,269.00,,6,,4900 Saddlebrook Lane - 6,Louisville,KY,40216
TIKTWEJ,137.50,,1,,3800 Alameter Dr.,Louisville,KY,40258
TTMAN24,240.00,"Changed locks on back door to the basement it never worked properly 
Looked at kitchen ceiling 
Looked at the roof roof has been repaired a while ago the leak is in the same area
Siding is blown off by the last storm 
Foundation vent needs put back in 
Need to pick up insulation 
Closing this meld and one is opened for repairs 
we will schedule this for next week weather permitting",B,,170 Gillette Avenue - B,Louisville,KY,40214
TLRXDQY,268.00,,1,,2718 Rockford Lane - 1,Louisville,KY,40216
T5AY3XJB,165.00,,6,,4903 Saddlebrook Lane - 6,Louisville,KY,40216
TRH5BV2,597.00,,4,,4901 Saddlebrook Lane - 4,Louisville,KY,40216
TKK3QBMB,764.00,,1,,4901 Saddlebrook Lane - 1,Louisville,KY,40216
T69K0ZAB,130.00,,3,,253 Cecil Avenue - 3,Louisville,KY,40212
TE7WXX1,245.00,,1,,8003 Grenelle Drive,Louisville,KY,40228
TQ17FY8,97.50,,7,,1568 Illinois Road - 7,Radcliff,KY,40160
TYHIYB9,65.00,,1,,2922 South 5th Street,Louisville,KY,40208
T7FV7F1,65.00,,3946-1,,3946 South 3rd Street -1,Louisville,KY,40214
T4BQKGLB,0.00,,1,,9211 Wakulla Court,Louisville,KY,40299
TT3X46M,112.50,,131,,4524 Winnrose Way 131,Louisville,KY,40211
TJDDTDN,325.00,"Furnace runs after temperature has been reached. Replaced very old thermostat with digital upgrade. 
Problem persists. Referral to HVAC contractor. 

Kitchen faucet drips. Replaced with new faucet with sprayer. 

Sink drain leaking at multiple places replaced kitchen waste. 

Flooring had small crack.
Applied epoxy to crack to stop spread.",4,,184 Cannon Court - 4,Louisville,KY,40229
T8IDVLJ,195.00,,1A,,306 Keeneland Drive - 1A,Elizabethtown,KY,42701
T3A2A3LB,255.00,"Repaired drain had small leak 
Tenant had fixed garbage disposal I cleaned drain properly 
Set bait in multiple cabinets and under stove,fridge,and under dressers 
Ballast was bad to kitchen light and the breaker was weak installed new breaker
Repaired master vanity drain",2A,,306 Keeneland Drive - 2A,Elizabethtown,KY,42701
T5QWWBN,305.00,"Installed new post on each end of fence 
Installed new brackets to anchor fence to wall
Dugout broken post set new post in concrete 
Added a extra brace on back side of fence",2,,621 Westport Road,Elizabethtown,KY,42701
T8NDJX9,170.00,,3,,621 Westport Road,Elizabethtown,KY,42701
TYRQMWEB,102.50,"Screen door damaged by high winds. 
Removed broken screen door.
Will price replacement and turn in for approval. 

Refrigerator seal had slipped from it's groove. 
Adjusted and pressed back into place. 
Door opens and closes. Seals tightly. 

Tenant had requested new locks. 
Rekeyed locks to O key. 
Tenant will be charged labor and for new keys.",1,,206 Ottawa Avenue,Louisville,KY,40209
TCAL8YQ,177.50,"Made sure basement was empty. 
Installed new deadbolt and security plate. 
Keyed to X.",1,,4728 Southern Parkway - 1,Louisville,KY,40214
TWDNQ8MB,65.00,,1,,2211 Gerald Court - 1,Louisville,KY,40218
TPBYR8DB,146.25,"When I got here there was water on the laundry room floor. 
Ran a cycle in the first washer. 
When it started to drain the drain pipe began to overflow. 

Attempted to snake 4"" pipe withy snake. 
Snake almost immediately became stuck and entangled. 

When I pulled it free there was lint wrapped around the snake. 

Referral to Dixie Plumbing. 

Turned off the breakers to the washers. Office personnel sent out of service email. 

Water had gotten into apartment 1 and 2. 
Referral to Deluxe carpet cleaner.",2,,4901 Saddlebrook Lane - 2,Louisville,KY,40216
TXDLPKW,1376.00,"Installed two smoke alarms 
Installed co2 alarm 
Repaired hallway light 
Repaired kitchen faucet 
Repaired smoke alarm brackets 
Repaired closet doors two total 
Installed spindle along the top part of porch 
Installed cover for panel boxes
Repaired wall in both bathrooms 
Caulked around both vanities 
Caulked around bath tub 
Installed door sweep 
Installed screw on weather stripping 
Installed new address numbers on bottom of deck 
Installed unit number on unit door 
Pulled off what was left of old storm door 
Repaired door jam rotten behind storm door trim 
Installed hand rail at top of steps 
Installed new spindles going down the steps 
Repaired old handrails repaired siding on top of the second story 
Repaired missing down spout",3,,715 M Street - 3,Louisville,KY,40208
T320RTG,65.00,,1,,6713 Stana Drive,Louisville,KY,40258
TAGAK2BB,65.00,Lubricated door strike and lock. Removed trash,16,,111 E O'Bryan Avenue-16,Bardstown,KY,40004
T51DLHN,157.50,"LED light in kitchen was only lighting half way. 
Removed old light and replaced with 2 bulb flush mount fixture. 
Light turns off an on properly after replacing.",1,,1312 Lillian Avenue,Louisville,KY,40208
T1CAGWB,227.50,"Signs of water throughout house. 
Bedroom has 2 spots where paint is peeling with visible water damage. 

Entire bathroom ceiling is peeling. 
Bathroom ceiling plaster is cracked and loose in areas. 

Small cracks present in living room and kitchen also. 

Accessed attic to check for leaks. 
Light visible around chimney and towards the front of the house. 
Referral to roofing contractors. 

Recommend laying new drywall over plaster in bathroom. Water resistant green board would be best. Estimate will be in chat.",1,,2463 Lindbergh Drive,Louisville,KY,40208
TGKGUT1,65.00,,1,,819 1/2 Beecher Street,Louisville,KY,40215
TIHICWN,162.50,"Repaired range hood fan switch, removed ice /thawed out freezer in fridge ( drawer under freezer was frozen and wouldn’t pull out)",All,,100 Slate Run - All,Bardstown,KY,40004
TU6IATHB,177.50,"Unit is clean and uncluttered. Moved refrigerator and checked behind panel. No dead mouse found. 
Filled gaps in cabinet under sink with steel wool and expanding foam. Placed snap trap in cabinet under sink. 
Placed sticky traps in water heater closet and HVAC closet. 
Placed rat/mouse poison behind unit. 
Sprayed rodent repellent around front and back doors.",2315,,2315 Rodman,Louisville,KY,40208
TTVCTMI,965.00,,2A,,402 North Hite Avenue,Louisville,KY,40206
T80U2FBB,150.00,"Kitchen sink was clogged. From the debris in the sink I believe something backed up into the sink. 

Drained sink through Ptrap into a bucket. 
Poured debris out of trap. 

Snaked drain. About 12 foot down hit clog. Clog broke loose. 

Retrieved snake from drain. 
Nothing on snake end. 

Reassembled drain and ran water to test. 

Sink drains without backing up after 5 minutes of running water. 

Cleaned debris out of sink.",4,,4315 Southern Parkway - 4,Louisville,KY,40214
TIRDTCQ,215.00,,1,,2730 Montana Avenue,Louisville,KY,40208
TEX5LWKB,65.00,,1,,130 West Garrett Street,Louisville,KY,40214
TP83AVB,65.00,Service not restored upon arrival.,3946-1,,3946 South 3rd Street -1,Louisville,KY,40214
TFRF5QV,162.50,Disassembled covers in freezer compartment. Thawed out ice and frost from evaporator and drain tube with heat gun and removed the water with shop vac. Replaced defrost thermostat. Reassembled freezer covers.,All,,100 Slate Run - All,Bardstown,KY,40004
TI113LU,300.00,"Installed new wax ring kit 
Repaired flange 
Repaired fill valve 
Had to drill through concrete",1,,2511 Dixie Highway - 1,Louisville,KY,40216
T2GX49GB,2160.00,"Installed new base cabinets 
Installed new counter tops 
Cut hole for sink 
Installed new sink 
Installed new faucet with sprayer 
Installed new sink basket with strainers 
Installed new drain piping 
Had to move drain line 
Installed trim 
Painted one wall in kitchen 
Repaired plug in kitchen 
Repaired door 
Filled holes 
Set bait for roaches
Installed new supply lines 
Installed toe boards under cabinet 
Had to build out one part of the wall to top of counter top wall is not square",1,,2511 Dixie Highway - 1,Louisville,KY,40216
TXMIDHD,212.00,,5,,2322 West Chestnut Street - 5,Louisville,KY,40211
TKEWJ7CB,295.00,"Checked all gutter cleaned everything that needed cleaned 
Repaired two spots on gutter guards",5,,2322 West Chestnut Street - 5,Louisville,KY,40211
TZGV5M4,72.00,,18,,9345 Taylorsville Rd. - 18,Louisville,KY,40299
TB5U1KLB,137.50,,A10,,4604 Southern Parkway - A10,Louisville,KY,40214
TU3E0E1,331.00,"Stove elements were old and not heating consistently. 
Replaced with new elements. 

Set mouse traps under kitchen sink, in cabinet to left of stove, and one on either side of the laundry/utility room. 

Sticky traps placed near trash can, next to refrigerator, and two in laundry/utility room. 

Poison boxes placed outside between units. 

Noise in wall that tenants heard was birds in dryer duct in apartment 4. Birds removed as part of a different work order.",3,,184 Cannon Court - 3,Louisville,KY,40229
TZ18CJY,148.50,"Removed 3 starlings (birds) from dryer duct. 

Cleaned dryer vent with lint brush. 
Removed nest materials that birds left behind. 

Installed vet cover and pest cage at exterior vent. 
Tenant does not currently have a dryer. So I capped the interior of the vent also. 

Next door has had an issue with mice. 
Left sticky traps under kitchen sink and in laundry/utility closet. 

Treated exterior of entire building with rodent repellent.",4,,184 Cannon Court - 4,Louisville,KY,40229
THR6PXJB,215.00,"Took out garbage disposal 
Installed new drain piping underneath kitchen sink 
Unit is on a c key",1B,,302 Keeneland Drive - 1B,Elizabethtown,KY,42701
T4DTXWT,323.00,"Took out old return air vent 
Installed new return air vent 
Repaired bathroom door
Repaired back kids room bedroom door 
Looked at bath tub 
When we do the repairs to the bath tub tenant will not be able to use bathtub or shower for 24 hours 
Meeting with plumbing inspector
Passed plumbing inspection
Tenant did not want to do repairs to tub at this time office  will schedule with tenant 
Closing this work order and one will be credited for tub",1,,4621 Silverleaf Dr,Louisville,KY,40213
TIGVH4JB,97.50,"Knocked on front and back door for unit 1. No answer. 

Inspected basement for signs of rodent infestation. 

No droppings, no burrows, no nesting signs seen.",1,,4003 South 3rd Street - 1,Louisville,KY,40214
TPC7W4MB,97.50,,3,,4902 Saddlebrook Lane - 3,Louisville,KY,40216
TC2XWWY,524.50,"Scraped away damaged drywall. Applied fresh mud to damaged areas. 

Cleaned debris off top of shower surround. 
Caulked gap. 
Caulked gaps in crown moulding. 
Painted stained ceiling areas with cover up paint.

5-31-23: Sanded patched areas. 
Painted with color matched paint. 
2 coats. 
Painted primed areas of ceiling with flat ceiling paint. 
Clean up. 

Work order complete.",1,,5208 Johnsontown Road,Louisville,KY,40272
TQWW9YHB,65.00,"No hot water at any faucet. 
Breaker is in on position

Removed panel from water heater. 
Internal breaker is open. 
Reset internal breaker. 
No change. No sound coming from water heater indicating it's working. 

Both elements have continuity. 
Voltage at power supply is good at 220.",227,,4524 Winnrose Way 227,Louisville,KY,40211
TA0CPTC,260.00,Replaced kitchen faucet spout and o-rings. Replaced GFCI outlet in kitchen and replaced AC unit in living room. Vacuumed out duct work and re-taped duct work.,All,,100 Slate Run - All,Bardstown,KY,40004
TABYHWFB,146.25,"Water heater is not igniting. 
Every 10 minutes it attempts to light and then beeps and shuts down.

It's too late to get parts today. 

Referral to Dixie Plumbing.",4,,4903 Saddlebrook Lane - 4,Louisville,KY,40216
TKXWV7Q,265.00,,1,,7604 Garrison Road - 1,Louisville,KY,40214
TX9ZAVKB,1338.50,"Cut other damaged drywall 
Installed insulation 
Installed new drywall 
Sprayed for mold 
Cleaned up all the trash 
We are sending deluxe cleaning to clean carpet 
We will schedule to finish repairs
Checked for any active leaks
Sanded and applied second coat of drywall
Had to repair more of the ceiling due to more leaks after last storm 
Finished all repairs",16,,7602 Garrison Road - 16,Louisville,KY,40214
T8566DL,65.00,"I was at unit at 8:00 a.m. this morning. I knocked and rung the doorbell do one home 
Office will reach out to schedule
I’m closing this meld and one will be opened for toilet repair",1,,435 Amy Avenue,Louisville,KY,40212
TP4XVPEB,147.50,"Entry door had a keyed knob. None of my keys worked and tenants key would not open it. 

Drilled knob and replaced with deadbolt. 

Keyed to B key like the doors on the house. 

Garage door that faces home was locked and one of the bottom rollers had slipped out of the bracket, causing it to bind in the rail. 
Reinstalled roller into bracket. 

The two rear doors are both beyond repair. The one on the left from the inside has broken panels. The right one is missing a spring and also has panel damage. The support for both doors is damaged and leaning. 

Recommend bringing in a garage door company for estimate for replacement.",1,,1208 Queen Avenue,Louisville,KY,40215
T46Y1DT,218.50,"Removed all broken glass 
Removed top window frame 
Took to Ace to get replaced 
Installed plywood over window 
Repaired ceiling in kitchen area 
Had to move refrigerator to repair window found that the refrigerator condenser fan was working properly I temporarily got it going but needs new fan motor parts have been ordered
Office will schedule for the install of window and refrigerator parts",1,,2147 Duncan Street - 1,Louisville,KY,40212
TGPEHYBB,700.00,,4,,230 West Blue Lick Road - 4,Shepherdsville,KY,40165
TLUXPV8,65.00,,1,,604 Merwin Avenue,Louisville,KY,40217
T0WP3BBB,235.00,"Shower head cracked and leaking at base. 
Replaced with new shower head. 

Bathroom faucet, hot water handle broken in open position. 
Shut off water to apartment. 
Old faucet severely corroded. 
Had to cut it out of the vanity. 
Installed new faucet and 2 new feed lines.",2,,4909 Saddlebrook Lane - 2,Louisville,KY,40216
TZ5MWZ1,97.50,"Spoke with tenant. 
He states that it only leaks when it rains. 

Looked in 6 above and 2 below.

There are signs of slight water damage in both apartments that would suggest a roof leak. 

Looked outside. 
It is hard to see from the ground, but there is visible wear on the roof over these apartments. 
Also signs of leaks around soffit. 

Referral to roofing contractors.",4,,2718 Rockford Lane - 4,Louisville,KY,40216
TFTI485,155.00,"Snaked all drains 
Ran thrifts in all drains 
Bathroom drains are flowing faster
Repaired flush valve in toilet it was not allowing the water to flow though properly
No change for the tenant",1,,435 Amy Avenue,Louisville,KY,40212
TUFM202,122.50,,119,,4522 Winnrose Way 119,Louisville,KY,40211
T9K81MY,499.50,"Repaired all lose plugs 
Repaired front two windows 
Repaired drain on right side of kitchen sink 
Repaired loose cabinets knobs
Repaired microwave light 
Installed a cover on the bottom of the microwave light 
In new filter 
Installed gfi and wall plate in laundry area 
Installed cap on water shut off for washer 
Caulked led around bathroom counter top
Repaired loose toilet 
Repaired vanity faucet 
Installed two new burners on stove
Installed new knob on bedroom door 
Installed pop up latch on utility room 
Installed mailbox lock 
Keyed unit to n key
Repaired hole in bedroom closet door
Repaired outside panel box",127,,4524 Winnrose Way 127,Louisville,KY,40211
TWBYF6T,97.50,,1,,4105 Glen Hill Manor,Louisville,KY,40272
T9PQ0V7,65.00,,11433,,11433 North Tazwell Drive - 11433,Louisville,KY,40241
T07E1PU,105.42,,39,,111 E O'Bryan Avenue-39,Bardstown,KY,40004
THX0QG5,65.00,,1,,122 Oxford Place,Louisville,KY,40207
TRFEZ3LB,97.50,"Water coming into apartment 10 from apartment 14 above. 

Water is coming from toilet. 
There has been multiple issues with the older toilet in 14

We will schedule to replace toilet next week. At that time I will complete ceiling repair in 10.",10,,7602 Garrison Road - 10,Louisville,KY,40214
TJ1JGUGB,65.00,,4,,1035 Baxter Ave - 4,Louisville,KY,40204
TQ1PJMK,65.00,,1,,1360 Lillian Avenue,Louisville,KY,40208
TAFCMQZ,97.50,,6604,,6604-6606 Miles Avenue - 6604,Louisville,KY,40214
TC6YJD1,102.50,"Towel rack brackets loose. 
Toilet paper holder brackets loose. 

Added screws to brackets. 

Reinstalled rack and toilet paper holder. 

Front door veneer loose. 
Installed screws to hold it in place and sanded edges to eliminate chance of splinter.",5,,601 Revolutionary Road - 5,Louisville,KY,40214
TP1EV03,313.50,"Repaired closet doors 
Repaired transition strips
Repaired front storm door 
Replaced kitchen light",1,,1810 Magazine Street,Louisville,KY,40203
TK3MWY0,310.00,"Installed new locks on both doors to the unit 
Keyed to v key 
Repaired front door to unit 
Installed two sleeves along the deadbolt and knob",647.5-4,,647.5 S 44th Street -4,Louisville,KY,40211
TP2IHCGB,97.50,,1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
TUY9BJP,235.53,Removed breaker panel in apartment and tested power coming in. Was only getting 1/2 the power. Replaced breaker below meter outside,42,,111 E O'Bryan Avenue-42,Bardstown,KY,40004
T2B6PG1,109.00,"Bathtub and vanity drains back up and drain slow. 

Attempted to snake drain through bathtub drain. 

Snake would go down about 5 feet then hit something hard that I could not push past. 

Referral to Dixie Plumbing.",1,,4902 Saddlebrook Lane - 1,Louisville,KY,40216
TRA7XP7,127.50,,2,,1431 Nightingale Road - 2,Louisville,KY,40213
TJKUAN2,172.50,,15,,7602 Garrison Road - 15,Louisville,KY,40214
TLURZRL,200.00,"Tenant was recently taken to hospital. 
In the confusion his keys were lost. 

Picked up keys from office. 
Went to apartment and let tenant in. 
Got copies made at hardware store. 
Delivered copies to tenant.",3946-2,,3946 South 3rd Street - 2,Louisville,KY,40214
T5IF2FE,171.25,,1,,3339 Taylor Boulevard - 1,Louisville,KY,40215
TJVUBK7,251.50,,1,,250 Thompson Ave,Louisville,KY,40206
TBB9TTE,65.00,,2,,601 Revolutionary Road - 2,Louisville,KY,40214
TKU703B,307.50,"Universal replacement handles were stripping stems. Also stem covers had sharp edges that were cutting tenant. 

After removing handles and covers the stems were in bad shape, corroded beyond repair. 

Replaced stems, handles and covers with new hardware. 

Clean up.",1,,601 Revolutionary Road - 1,Louisville,KY,40214
TBWNX64,65.00,,3,,2511 Dixie Highway - 3,Louisville,KY,40216
TGVYL0E,250.00,"Repaired four lights upstairs 
Replaced bulbs 
Found a short in switch 
Found second short light fixture",730,,730 Zane Street,Louisville,KY,40203
TE74PP5,483.00,,2,,1603 Gagel Avenue - 2,Louisville,KY,40216
TCUW64FB,737.00,"Took down more damaged drywall 
Installed new drywall 
Installed new insulation 
Taped a applied first coat of mud 
Sanded and applied second coat of mud


Textured ceiling finished all repairs",15,,7602 Garrison Road - 15,Louisville,KY,40214
TXUXWB,210.00,"Bathroom faucet hot handle broken in open position. Tenant was forced to turn off water at shut off valve. 

I had to cut out the faucet due to corroded connections. 

Installed new faucet and 12 inch feed lines. 

Clean up.",14,,4728 Southern Parkway - 14,Louisville,KY,40214
TI1AYE7,112.50,"Bathroom ceiling has access panel in ceiling. Tenant was concerned about pests coming through gaps in the side. 
Sealed access panel with caulk. 

Also sealed small crack in wall with caulk. 

Tub had loose caulk. Recaulked around tub. 

Tub diverter spout was stuck in shower mode. 
Replaced spout with new. 
Functioning normally after repairs. 

Tenant is concerned about the condition of tub, sink, and medicine cabinet. Pictures taken and posted to meld.",9,,4728 Southern Parkway - 9,Louisville,KY,40214
TKFQEQ3,80.00,,1,,1710 Liberty Bell Way - 1,Louisville,KY,40215
TUGVZNF,175.00,,1,,7103 Chiswell Dr.,Louisville,KY,40258
T73JVAC,97.50,,4,,7604 Garrison Road - 4,Louisville,KY,40214
TXGIWELB,97.50,,5,,601 Revolutionary Road - 5,Louisville,KY,40214
T1LJBIR,65.00,,1,,250 Thompson Ave,Louisville,KY,40206
TF93QUF,65.00,Checked apartment 1 and 3 above and found no water leaks,4,,111 E O'Bryan Avenue- 4,Bardstown,KY,40004
TQJDLN6,102.50,"Vanity sink clogged with calcium deposits and hair. 

Removed clog from S trap. 

Tightened slip nuts and pop up drain. 

Drain flows freely after repair.",1,,2513 Date Street,Louisville,KY,40210
TJW6UDAB,232.50,"Measured windows and acquired blinds from hardware store. 

Installed 6 new blinds. 5 on the windows and one on the back door. 

Disposed of old blinds. 

Roof in need of repairs. Referral to roofing contractors.",2,,2513 Date Street - 2,Louisville,KY,40210
TNMHTLBB,70.00,"Broken lightbulb in exterior fixture by front door. 

Removed broken bulb, installed new. 

No specific problem with flooring. 
Tenants are concerned about it being not level and being blamed for damage. 

Window screens are tattered. I will put together an estimate for repairing screens in apartment 201 and a separate estimate for repairing entire building.",201,,4161 Reservoir Avenue - 201,Louisville,KY,40213
TZCKZL5,218.00,,12,,621 Westport Road,Elizabethtown,KY,42701
TV6589IB,225.00,,1A,,304 Keeneland Drive - 1A,Elizabethtown,KY,42701
TZZEV9CB,252.00,,1A,,306 Keeneland Drive - 1A,Elizabethtown,KY,42701
TAMNJ2C,200.00,"Installed new clip for sprayer arm 
Installed sprayer arm 
Repaired latch",2A,,306 Keeneland Drive - 2A,Elizabethtown,KY,42701
TLPULWDB,97.50,"Refrigerator is barely cooling. 
Compressor is noisy and hot to the touch. 
Submitted to owner for approval to replace.",3946-2,,3946 South 3rd Street - 2,Louisville,KY,40214
T8ZNVDMB,327.50,"Walked with fire inspector. 
3944 unit 2 replaced non working smoke detector with 10 year lithium ion smoke and CO detector. 

3944 unit 3 installed door closing lever.
3944 unit 4 installed door closing hinge. 

3946 units 3 and 4 installed door closing hinges. 

Passed inspection.",3944-1,,3944 South 3rd Street - 1,Louisville,KY,40214
TD6RYQU,65.00,,1,,1709 Valley Forge Way - 1,Louisville,KY,40215
T73WHDP,65.00,,1,,12511 East Orell Road - 1,Louisville,KY,40272
TPPRILHB,189.00,,2,,7604 Garrison Road - 2,Louisville,KY,40214
T71Q011,298.00,,1,,633 Iowa Avenue,Louisville,KY,40208
TXFDH4N,118.50,,2327,,2327 Rodman,Louisville,KY,40208
T1HH5LZ,261.00,,2315,,2315 Rodman,Louisville,KY,40208
T4DA8CL,413.50,"Checked ceiling we will let it dry and be back out to do repairs 
Office will schedule 
Leak was upstairs shower

Sprayed for mold 
Repaired bathroom ceiling",613-6,,613 S 44th Street - 6,Louisville,KY,40211
T89M5PH,272.00,,613-8,,613 S 44th Street - 8,Louisville,KY,40211
T1I3RVI,185.00,"Inspected ceiling for soft spots. 
Ceiling is solid. 

Painted ceiling water spots. 2 coats. 

Clean up.",1,,3183 Red Barn Loop,Jeffersonville,IN,47130
TKRCQ8GB,142.50,,1,,1621 Haskin Avenue,Louisville,KY,40215
TB15G8G,130.00,,2,,1431 Nightingale Road - 2,Louisville,KY,40213
TU6W4IG,97.50,,1,,2300 Cherian Drive,Jeffersontown,KY,40299
T51980Z,152.50,"Replaced broken blind. 

Plugged in dehumidifier. 

Pictures taken of blinds that have been chewed on. Estimate in chat.",1,,1948 East Oak Street,New Albany,IN,47150
T53PMPJB,97.50,Installed 2 Tow away signs. One on side and one on rear of building.,1,,1747 East Oak Street - 1,New Albany,IN,47150
TM6946P,112.50,"Installed screws into box cover. 

Installed expanding foam into holes and cracks.",24,,1002 East Main St,New Albany,IN,47150
TMDLB4R,97.50,"Tenant gave permission to enter.

Removed hair clog from bath tub drain. Also some trash and debris. 

Tenant made me aware of leak under bathroom sink. Water dripping from hot water shut off valve. Tightened packing nut. No longer drips.",11,,212 East 13th Street- 11,New Albany,IN,47150
TV5FFA7,97.50,"Ceiling fan in bedroom was unbalanced and would rock back and forth. 

Tightened fan screws. 
Tightened set screws on light fixture. 
Much more solid after repair. 

Hot water handle on kitchen faucet leaks. 
Turned off hot water under sink. 
Removed handle and cartridge. 
Cleaned out calcium deposits around cartridge and cap and spring. 

Reinstalled cartridge, tested.
No leak after repairs. 

Reinstalled handle.",12,,1002 East Main St,New Albany,IN,47150
TBP3VX8,97.50,"No power in half the kitchen, bathroom and bedroom. 

Went into basement.

Breaker was thrown. 

Reset breaker. 

Power restored. 

Tenant had microwave plugged into same outlet as refrigerator, causing an overload on the circuit. 
Instructed tenant to put microwave into a different location.",4,,216 East 13th Street- 4,New Albany,IN,47150
TETFQ6H,493.00,,1,,2147 Duncan Street - 1,Louisville,KY,40212
TF75I8J,255.00,,2,,253 Cecil Avenue - 2,Louisville,KY,40212
TEFLDCQ,267.00,"Repaired vent fan in bathroom 
Cut out damaged area in bathroom ceiling 
Repaired  laundry room doors 
Unclogged drain line for hvac 

Tenant said that Tuesdays are the best days to schedule for repairs 
Office will call to schedule 

We are sending Allstate out to check hvac system  very tight are in laundry area there is an access panel",1,,222 Mud Hen Drive,Shepherdsville,KY,40165
TWFMU0MB,97.50,,1,,3908 Alford Avenue,Louisville,KY,40212
TGAUM2Z,301.00,"Repaired vanity drain and unclogged drain 
Repaired toilet 
Installed new fill valve 
Installed new flush valve 
Installed new handle",623-4,,623 S 44th Street -4,Louisville,KY,40211
TUMJVPFB,110.00,"Tenant locked himself out. 
Had to drill lock and install new deadbolt. 

Unit is now on LREI key code D.",6,,1747 East Oak Street - 6,New Albany,IN,47150
THNL6REB,215.00,"Bathroom faucet badly corroded. 
Replaced with new faucet.

Bathroom doorknob was old and worn out. 
Replaced with new privacy knob. 

Tenant made me aware of bedroom door not closing properly. 
Adjusted hinge and strike plate.",15,,7607 Garrison Road - 15,Louisville,KY,40214
T89ZBYMB,226.00,,623-2,,623 S 44th Street -2,Louisville,KY,40211
TYDV569,168.57,Replaced defective kitchen faucet,14,,111 E O'Bryan Avenue-14,Bardstown,KY,40004
T6L8JKL,65.00,,2,,1709 Valley Forge Way - 2,Louisville,KY,40215
TKF6H0T,65.00,,2,,4901 Saddlebrook Lane - 2,Louisville,KY,40216
TJPLTT5,396.00,"Repaired front living room windows the hole frame was loose and falling out 
Installed new bolts and trim 
Installed new kitchen faucet 
Installed new shutoff 
Installed new supply lines",647.5-3,,647.5 S 44th Street -3,Louisville,KY,40211
TZPXDXP,402.00,,647-3,,647 S 44th Street -3,Louisville,KY,40211
T0IXBGG,117.50,"Drain had become detached from tailpiece. Drain also dripping from Ptrap and at rubber boot. 

I stalled extension tube between tailpiece and drain. 
Tightened slip nut at Ptrap. 
Adjusted and tightened straps on rubber boot. 

No leak after repairs.",7,,7604 Garrison Road - 7,Louisville,KY,40214
TXUTXPD,220.00,"Repaired both door knobs 
Repaired oven light fixture 
Installed new fill valve 
Installed new flap",649-3,,649 S 44th Street -3,Louisville,KY,40211
TUMK4ZI,270.00,,607-1,,607 S 44th Street - 1,Louisville,KY,40211
TTJ0FJ2,130.00,,6,,4902 Saddlebrook Lane - 6,Louisville,KY,40216
T6V668Y,102.50,"Bathroom sink is clogged. 
Bath tub drain also backs up. 
Snake would not reach clog. 
Referral to Dixie Plumbing. 

Light switch in bathroom not turning off. Replaced with new switch. 
Light turns off and on after repair. 

There is water in carpet outside bathroom. I believe it is related to the plumbing issue.",A2,,4604 Southern Parkway - A2,Louisville,KY,40214
TVWAU5HB,111.94,Replaced breaker,2,,111 E O'Bryan Avenue - 2,Bardstown,KY,40004
TWRWGYGB,130.00,,1,,5423 Ilex Ave,Louisville,KY,40213
T4RFCINB,202.50,"Storm door damaged in wind storm. 
Pneumatic closer bent, hinge screws stripped. 

Replaced closer with new. 
Installed more aggressive screws in door hinge. 

Downstairs bathroom toilet fill valve would not turn off. 
Replaced with new fill valve. Adjusted valve for tank level. 

Bedroom closet bifold doors in need of replacement parts. Door on left bottom of door loose in frame. 
Installed screws to bottom frame to reinforce. Installed one roller and one peg in doors. Adjusted brackets. Doors open and close fully after repair.",8419,,8417 Damascus Circle - 8419,Louisville,KY,40228
TZZKGKH,65.00,,14,,7602 Garrison Road - 14,Louisville,KY,40214
T6UDM74,97.50,,1,,1619 Bluegrass Avenue,Louisville,KY,40215
TJ5YCEF,119.50,"Cut out old caulk. 
Installed new. 
Tenant should avoid using shower for at least 4 hours.",1,,819 1/2 Beecher Street,Louisville,KY,40215
