Meld,Work Category,Agent,Title,Description,Hours,Check in,Checkout,Unit,Property Name,Address line 1,City,State,Postal code
TMZ1PVAB,PLUMBING,Mike Guelda,Kitchen sink,"Multiple leaks. 
Sink baskets, waste and cast iron all show signs of leaking.
Cast iron had big hole leaking. 

Cut out cast iron pipe. 
Installed rubber boot. 
Installed new PVC. 
Replaced both sink baskets.
Replaced tubular waste and p trap. 

Sealed all joints with thread seal. 

Ran water to test. 

No leaks after repair.",2.5,02/01/2023 08:30,02/01/2023 11:00,1,,1744 Dixdale Avenue,Louisville,KY,40210
TCRWETBB,PLUMBING,Mike Guelda,Bathroom sink.,"P trap was broken at nut. 

Replaced with rubber clamp on p trap. 

Shimmed sink and recaulked edges. 

Sink and hardware are aged. Recommend replacing.
Estimate in chat.",1.5,02/01/2023 12:30,02/01/2023 14:00,3,,319 West Lee Street,Louisville,KY,40208
TR2F478,SHOWER,Mike Guelda,Bathroom,"Pulled hair clog from bathroom sink. 
Tenant will be charged. 

Mildew stains in bathroom. 
Recommend after shower spray and keeping ventilated after showers.",1.0,02/01/2023 14:30,02/01/2023 15:30,1,,711 Compton St,Louisville,KY,40208
TDW3EVBB,HARDWARE,Mike Guelda,Key delivery,Common door key placed on speaker in living room.,1.0,02/02/2023 08:00,02/02/2023 09:00,3,,810 West Vine Street,Radcliff,KY,40160
T10HMKN,PLUMBING,Mike Guelda,Multiple repairs.,"Assisted Dixie Plumbing with removing lower cabinets and counter tops. 

Replaced deadbolts in 2511 unit 1
And 2513 unit 1and 2. 

Both units in 2513 are on a V key. 
2511 unit 1 is on a M key. 
Lockbox left at 2511 unit one code is 0202",3.0,02/02/2023 12:00,02/02/2023 15:00,1,,2511 Dixie Highway,Louisville,KY,40216
T0C8MRBB,LOCKS,Mike Guelda,Basement door.,Secured basement door with two hasps and locks.,1.5,02/02/2023 15:30,02/02/2023 17:00,1,,4730 Southern Parkway,Louisville,KY,40214
TW3GKG7,GARBAGE_DISPOSAL,Mike Guelda,Garbage disposal.,"Disposal was clogged with grease and food particles from previous tenant. 

Drained water from sink. 
Removed disposal. 

I stalled new sink baskets and tubular waste. 

Treated with drain cleaner to help clear old grease from pipes.

Tenant made me aware of towels bar that was loose in bathroom. 
Secured to wall and tightened set screw.",2.0,02/02/2023 09:00,02/02/2023 11:00,1B,,300 Keeneland Drive,Elizabethtown,KY,42701
T1P8HX6,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,2.0,01/31/2023 12:00,01/31/2023 14:00,Unit 1,,927 N Lakeview Dr,Louisville,KY,40229
T8CDYTF,GENERAL,Mike Guelda,Multiple repairs,"Installed new smoke detectors in both units. 
Installed new 16x20x1 air filters in both units. 

Installed new keyed entry door knob on common door. 
Keyed to U.",2.5,02/03/2023 08:00,02/03/2023 10:30,1,,2511 Dixie Highway,Louisville,KY,40216
T7YIUDCB,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs,"Shower rod was slipping from textured wall. 
Installed rod cups into wall. 

Front common doorknob no longer functional. 

Replaced with new doorknob. 

Keyed to tenants common door key.",1.5,02/03/2023 11:00,02/03/2023 12:30,3,,4813 Saddlebrook Lane,Louisville,KY,40216
TWQHRPIB,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,1.0,02/03/2023 08:00,02/03/2023 09:00,4,,8801 Malvern Hill Road,Louisville,KY,40242
T7LLVM2,DOORS,Mike Guelda,Door frame repair.,"Tenant stated that her boyfriend kicked the door in. Tenant will be charged for repairs. 

Removed broken piece of door frame. 
Replaced wood. 
Drilled holes for deadbolt and knob strike plates. 
Installed strike plates. 
Caulked seams.",2.0,02/03/2023 13:30,02/03/2023 15:30,2,,4813 Saddlebrook Lane,Louisville,KY,40216
T2HZ8LR,PLUMBING,Mike Guelda,Sprayer handle.,"Sprayer handle had cracked and was leaking past threads. 

Replaced with new handle.",1.5,02/03/2023 15:00,02/03/2023 16:30,1,,1908 Crums Lane,Louisville,KY,40216
TE42R7GB,PLUMBING,Albert Hardesty,Maintenance,,2.0,02/04/2023 14:00,02/04/2023 16:00,2,,1709 Valley Forge Way,Louisville,KY,40215
TG8NUML,ELECTRICAL,Albert Hardesty,Maintenance,,2.0,02/04/2023 16:00,02/04/2023 18:00,2,,2211 Gerald Court,Louisville,KY,40218
TYZFL5D,PLUMBING,Mike Guelda,Toilet repair.,"Fill valve was sticking shut. 
Flapper was getting stuck on chain. 

Replaced fill valve. 
Adjusted chain for clearance.",1.0,02/06/2023 16:00,02/06/2023 17:00,24,,1601-1603 Gagel Avenue,Louisville,KY,40216
T9YG2PJB,LOCKS,Albert Hardesty,Maintenance,,1.5,02/07/2023 12:00,02/07/2023 13:30,1,,4909 Saddlebrook Lane,Louisville,KY,40216
TZZB888,PLUMBING,Albert Hardesty,Maintenance,,2.0,02/07/2023 16:00,02/07/2023 18:00,24,,1601-1603 Gagel Avenue,Louisville,KY,40216
TVK6W8HB,GENERAL,Albert Hardesty,Maintenance,,1.0,02/07/2023 08:00,02/07/2023 09:00,2325,,2305 Rodman,Louisville,KY,40208
T8PX4XJ,APPLIANCES,Albert Hardesty,Maintenance,,2.0,02/07/2023 09:30,02/07/2023 11:30,2329,,2305 Rodman,Louisville,KY,40208
TB56T8GB,GENERAL,Albert Hardesty,Maintenance,,10.0,02/06/2023 08:00,02/06/2023 18:00,2,,2511 Dixie Highway,Louisville,KY,40216
TP9H9UH,GENERAL,Albert Hardesty,Maintenance,,5.0,02/07/2023 11:00,02/07/2023 16:00,1,,2209 7th Street Road,Louisville,KY,40208
TXP5AVN,GENERAL,Mike Guelda,Multiple repairs.,"Bathroom has mildew growing throughout. Lack of ventilation is the cause.
Window was screwed and painted shut. Scraped excess paint and removed screw. 
Window opens a few inches and locks. 

Several breakers were tripped and or off. Reset and turned on breakers. 
Power restored to apartment and heat. 

Bedroom light fixture still dim. 
Replaced lightbulbs. 
Light working after repairs. 

Ceiling repairs needed in multiple areas of the apartment. Living room paint is peeling, bedroom has cracks and holes in plaster, bathroom has cracks in ceiling and walls.",1.5,02/08/2023 08:00,02/08/2023 09:30,4,,4315 Southern Parkway,Louisville,KY,40214
T635QCB,TOILET,Mike Guelda,Toilet clog.,"Snaked toilet to remove clog. 
Toilet flushes after snaking.",1.0,02/08/2023 09:30,02/08/2023 10:30,B10,,4604 Southern Parkway,Louisville,KY,40214
TN0M4L0,GENERAL,Mike Guelda,Multiple repairs.,"Switch in bedroom had damaged housing. 

Replaced switch. 

Roller on hallway closet broken. 
Replaced roller.

Rekeyed lock to J key.",1.5,02/08/2023 11:30,02/08/2023 13:00,3,,3409 Prestwood Drive,Louisville,KY,40219
TQ3T50KB,LOCKS,Mike Guelda,Mailbox lock,Mailbox lock replaced. Keys placed on desk in living room.,1.0,02/08/2023 13:30,02/08/2023 14:30,5,,7602 Garrison Road,Louisville,KY,40214
T6E4WRI,OTHER_WORK_CATEGORY,Mike Guelda,Mailbox and code box.,"Code box removed from doorknob. 

Mailbox door is broken. 

Multiple boxes are damaged and or broken. Recommend replacing mailbox unit. 

Estimate in chat.",1.0,02/08/2023 13:30,02/08/2023 14:30,11,,7602 Garrison Road,Louisville,KY,40214
TEY0ADT,PLUMBING,Mike Guelda,Kitchen faucet.,"Kitchen faucet was broken at the base. 
Replaced faucet with new.",1.5,02/08/2023 15:30,02/08/2023 17:00,1,,512 Inverness Avenue,Louisville,KY,40214
TU53XELB,PLUMBING,Albert Hardesty,Maintenance,,3.0,02/08/2023 08:00,02/08/2023 11:00,1,,2513 Dixie Highway,Louisville,KY,40216
T6Q1R4T,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,2.0,02/08/2023 16:00,02/08/2023 18:00,3,,2511 Dixie Highway,Louisville,KY,40216
TB56T8GB,GENERAL,Albert Hardesty,Maintenance,,5.5,02/08/2023 11:00,02/08/2023 16:30,2,,2511 Dixie Highway,Louisville,KY,40216
TUJCBEGB,FLOORING,Mike Guelda,Flooring and dishwasher.,"Subfloor has area that is not level, causing linoleum to tear in doorway between living room and kitchen. 
Linoleum will have to be removed, floor will need to be leveled and new linoleum installed. 
No sign of damage when looking at floor from basement, but it is impossible to tell the extent of repairs needed until flooring is pulled up. 
Kitchen floor is 12x17. 

Dishwasher model number is wdf520padm7. This whirlpool model is known for drying issues. The heating element and motherboard have previously been replaced. 
Recommend replacing dishwasher to avoid further repair cost. 

Estimates for flooring and dishwasher will be submitted to property owner.",1.0,02/09/2023 08:00,02/09/2023 09:00,1,,7729 Bluebonnet Rd,Louisville,KY,40258
TTC70N9,PLUMBING,Mike Guelda,Multiple repairs.,"Bath tub drain was clogged with hair. 
Removed with drain snake. 
Tub drains normally after repair. 

Mailbox was damaged beyond repair. 
Installed new mounting plate and mailbox. 

Tenant also made me aware of cabinet drawer that the face was falling off of. 
Reattached face to drawer with staples and adhesive. Informed tenant to allow adhesive to cure overnight before installing drawer.",2.0,02/09/2023 09:00,02/09/2023 11:00,1,,3606 Baymeadow Dr.,Louisville,KY,40258
TII2Q3L,APPLIANCES,Mike Guelda,Dishwasher repair.,"Dishwasher making noise at beginning of wash cycle. 
No noise during drain cycle. 

All drain parts were covered in a film of grease from improper draining. 
Found 2 labels in drain screens. 

Washed drain parts in sink. 

Pulled cover from over pump impeller, removed pop can pull tab from impeller. 

Reinstalled all parts and started cycle. 
No noise during wash or drain cycle. 

Tenant will be charged for improper use of dishwasher.",1.5,02/09/2023 11:00,02/09/2023 12:30,1,,10104 Nanka Rd,Louisville,KY,40272
TVR1IUR,PLUMBING,Mike Guelda,Bathroom drains.,"Bathroom vanity sink slow drain. 
Snaked with drain snake. Pulled hair clog. 
Sink drains properly after repair. 

Shower drain is slow. 
Snaked with drain snake. No clog. 
Snaked with power snake. 
Some resistance about 10 feet in. 
Nothing on snaked after pulling. 
Shower drains properly after repairs.",1.0,02/09/2023 13:00,02/09/2023 14:00,12,,7602 Garrison Road,Louisville,KY,40214
TE2JKWG,APPLIANCES,Mike Guelda,Door repair and stove.,"Front door hitting opposite frame. 
Hinge screws were stripped, causing door to sag at top. 
Removed old screws, replaced with new longer, more aggressive screws. 
Adjusted doorknob strike plate. 
Door closes, latches and locks after repairs. 

Oven display and controls are damaged. Looks like something was stabbed into them. Pictures attached to meld. 
Recommend replacing stove.",1.5,02/09/2023 14:00,02/09/2023 15:30,V10,,3320 Bardstown Road,Louisville,KY,40218
TKFC4JC,PLUMBING,Mike Guelda,Drywall repair.,"Dixie Plumbing completed repairs to plumbing. 

Removed water damaged drywall. 

Installed new insulation into wall around plumbing. 

Installed access panel for future repairs.",2.0,02/10/2023 08:30,02/10/2023 10:30,1,,813 Laurel Drive,Jeffersonville,IN,47130
TVE056B,PLUMBING,Mike Guelda,Multiple repairs.,"Kitchen sink had a leak at sprayer and a leak from hot water shut off valve. 
Replaced kitchen faucet and sprayer. 
Replaced hot water shut off valve. 

Bathroom sink was leaking from pop up drain. Replaced pop up. 

While I was there I noticed a leak from the apartment upstairs over the shower. 
Removed water damaged ceiling tile. 
Will replace when I return. 

Both vanity and base cabinet have broken bottoms from water damage. 
I will return next week after everything has dried out to install new plywood bottoms in cabinet and vanity.",4.0,02/10/2023 11:00,02/10/2023 15:00,13,,1743 Culbertson Avenue,New Albany,IN,47150
T5VNGYR,PLUMBING,Mike Guelda,Electrical outlets and stove.,"Tenant was concerned about water that was coming out of power outlets and onto stove. 

Power outlet in bathroom is at proper voltage. 

All functions on stove and oven work properly.",1.0,02/10/2023 16:00,02/10/2023 17:00,8,,1743 Culbertson Avenue,New Albany,IN,47150
THJ9JWJB,DOORS,Mike Guelda,Front door glass repair,"Removed broken pane of glass. 
Installed new plexiglass pane and trim. 
Sealed with silicone sealant.",1.5,02/10/2023 15:00,02/10/2023 16:30,1,,1737 Culbertson Avenue,New Albany,IN,47150
T76KN9EB,APPLIANCES,Albert Hardesty,Maintenance,,1.5,02/11/2023 14:00,02/11/2023 15:30,1A,,300 Keeneland Drive,Elizabethtown,KY,42701
T05FAII,APPLIANCES,Albert Hardesty,Maintenance,,2.0,02/10/2023 14:00,02/10/2023 16:00,7B,,402 N. Hite Ave,Louisville,KY,40206
TPMHDKL,GENERAL,Albert Hardesty,Maintenance,,2.0,02/10/2023 08:00,02/10/2023 10:00,3,,810 West Vine Street,Radcliff,KY,40160
T94DRTF,PLUMBING,Albert Hardesty,Maintenance,,2.0,02/10/2023 16:00,02/10/2023 18:00,2,,3216 Fordhaven Road,Louisville,KY,40214
TP9H9UH,GENERAL,Albert Hardesty,Maintenance,,10.0,02/09/2023 08:00,02/09/2023 18:00,1,,2209 7th Street Road,Louisville,KY,40208
TP9H9UH,GENERAL,Albert Hardesty,Maintenance,,2.0,02/10/2023 10:30,02/10/2023 12:30,1,,2209 7th Street Road,Louisville,KY,40208
TXXV1UQ,PLUMBING,Mike Guelda,Toilet repair.,"Fill valve stuck in closed position, probably due to hard water build up. 
Replaced fill valve. 

Toilet fills after repair.",1.0,02/13/2023 08:00,02/13/2023 09:00,2,,184 Cannon Court,Louisville,KY,40229
T6TECB,PLUMBING,Mike Guelda,Drywall repair.,"Water damage present in 2 locations in bathroom. 

Scraped away damaged paint and drywall mud. 

Applied fresh mud to damaged areas. 

I will have to return in a day or two to sand and mud a finish coat. 

Then again to sand and paint. 

Paint sample taken to match.",1.5,02/13/2023 09:00,02/13/2023 10:30,A8,,4604 Southern Parkway,Louisville,KY,40214
TBNQ46B,GENERAL,Mike Guelda,Multiple repairs.,"Installed new one detector in bedroom. 
Installed CO detector in utility closet. 

Kitchen faucet handles were loose and no longer turned water off. 

Replaced faucet with new faucet with sprayer.",2.0,02/13/2023 11:30,02/13/2023 13:30,A12,,4604 Southern Parkway,Louisville,KY,40214
TUFE6EG,GENERAL,Mike Guelda,Multiple repairs,"Toilet clog was caused by hang on toilet bowl cleaner wire. 

After removing clog, noticed water leaking from under toilet. 

Pulled toilet and replaced wax ring and closet bolts. 

No leak after repair. 

Replaced mailbox lock and placed keys in lock box.",1.5,02/13/2023 14:00,02/13/2023 15:30,2,,2718 Rockford Lane,Louisville,KY,40216
TE54UHB,GENERAL,Mike Guelda,Clogged drain.,"Emptied sink through trap. 
Could not get snake further than 4 to 5 feet into pipes. 

Referral to Dixie.",1.0,02/13/2023 15:30,02/13/2023 16:30,1,,3508 Janell Road,Louisville,KY,40216
TI5NKENB,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,2.0,02/13/2023 08:00,02/13/2023 10:00,1,,1240 Algonquin Parkway,Louisville,KY,40208
TGYG6HQ,DRYWALL,Albert Hardesty,Maintenance,,3.0,02/13/2023 14:00,02/13/2023 17:00,2,,3216 Fordhaven Road,Louisville,KY,40214
T640A4N,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,1.5,02/13/2023 10:30,02/13/2023 12:00,2430-103,,2430 McKindree Ct,Louisville,KY,40211
T5RLZK4,PLUMBING,Albert Hardesty,Maintenance,,2.5,02/11/2023 14:00,02/11/2023 16:30,12,,621 Westport Road,Elizabethtown,KY,42701
T7FQHA9,GENERAL,Albert Hardesty,Maintenance,,2.0,02/13/2023 16:00,02/13/2023 18:00,2430-206,,2430 McKindree Ct,Louisville,KY,40211
TK4FWN0,PLUMBING,Mike Guelda,Kitchen sink.,"No leak seen when running water. 
Tightened slip nuts. No leaks after repair.",1.0,02/14/2023 08:00,02/14/2023 09:00,2,,2511 Dixie Highway,Louisville,KY,40216
T01AU3R,GENERAL,Mike Guelda,Multiple issues.,"Water damage evident in multiple places throughout apartment. 

Referral to Dixie Plumbing to find source of leaks. 

Could not get access to unit 4 to investigate further.",1.0,02/14/2023 09:00,02/14/2023 10:00,2,,2515 Dixie Highway,Shively,KY,40216
TF1TZCHB,WATER_DAMAGE,Mike Guelda,Kitchen sink.,"Sink baskets on left side leaking around rubber gasket. 

Replaced sink basket with plumbers putty. 

Filled sink to test. 

No leaks after repair.",1.5,02/14/2023 09:30,02/14/2023 11:00,3,,4903 Saddlebrook Lane,Louisville,KY,40216
TH7AVYLB,ELECTRICAL,Mike Guelda,Electrical repair.,"Main breaker was thrown when I arrived. 

Turned off oven breaker and reset main.

Power restored to the rest of the apartment. 

Attempted to reset oven breaker and I saw a spark from the oven and the breaker turned off. 

Found a short where the oven element was making contact with the back panel of oven. 

Model number and serial number were no longer visible on UL sticker. 

Roper ovens are no longer made and parts are scarce. 
Recommend replacing oven.",1.5,02/14/2023 13:00,02/14/2023 14:30,7B,,402 N. Hite Ave,Louisville,KY,40206
TPDJZ9Q,ELECTRICAL,Mike Guelda,Electrical repair and appliance removal.,Breaker was thrown. Reset breaker and plugged everything back in to test. Outlet working.,1.5,02/15/2023 08:00,02/15/2023 09:30,2,,221 Pope Street,Louisville,KY,40206
TPKMPRJB,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs,"Shower assembly was leaking at threaded fitting and water was getting behind faucet and running down the side of the garden tub. 

Tightened fitting to eliminate drip. 
Sealed back of faucet with silicone sealant. 

Both sink baskets showed signs of slow leaks. 

Replaced sink baskets with plumbers putty. 
Filled sinks to test. No leak after repair. 

Fireplaces had bags and sheets stuffed into them. 
Removed items, cut wire mesh to fit holes, and filled with expanding foam. 
Also filled any smaller gaps along the sides of fireplaces with foam. 

Plug that was not working was protected by GFCI outlet in kitchen.
Reset GFCI, outlet works. 

Tenant has seen one mouse. 
Referral to pest control.",3.0,02/15/2023 09:30,02/15/2023 12:30,2,,607 West Saint Catherine Street,Louisville,KY,40203
T2EVB5KB,DOORS,Mike Guelda,Side door.,"Removed damaged side door and frame. Installed new metal door and frame. 

Installed new interior trim around door. 

Caulked all edges. 

Used expanding foam on exterior gaps.",3.0,02/15/2023 14:30,02/15/2023 17:30,1,,8300 Candleglow Lane,Louisville,KY,40214
T6DMQKLB,WATER_DAMAGE,Albert Hardesty,Maintenance,,2.0,02/15/2023 08:00,02/15/2023 10:00,1,,5509 Phoenix Hill Ct,Louisville,KY,40207
TZF26JT,GENERAL,Albert Hardesty,Maintenance,,4.0,02/15/2023 14:00,02/15/2023 18:00,2,,1711 Valley Forge Way,Louisville,KY,40215
THYRH21,GENERAL,Albert Hardesty,Maintenance,,3.0,02/14/2023 12:00,02/14/2023 15:00,2325,,2305 Rodman,Louisville,KY,40208
T6J05IC,SIDING,Albert Hardesty,Maintenance,,3.0,02/15/2023 10:00,02/15/2023 13:00,1,,633 Iowa Avenue,Louisville,KY,40208
TPX6FA9,BLINDS_WINDOW_TREATMENTS,Albert Hardesty,Maintenance,,1.5,02/14/2023 08:00,02/14/2023 09:30,1,,820 Winkler Avenue,Louisville,KY,40208
T7FQHA9,GENERAL,Albert Hardesty,Maintenance,,1.5,02/14/2023 13:30,02/14/2023 15:00,2430-206,,2430 McKindree Ct,Louisville,KY,40211
TWQHRPIB,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,2.0,02/15/2023 09:00,02/15/2023 11:00,4,,8801 Malvern Hill Road,Louisville,KY,40242
T48J2LP,APPLIANCES,Albert Hardesty,Maintenance,,2.0,02/15/2023 18:00,02/15/2023 20:00,1,,2209 7th Street Road,Louisville,KY,40208
TC2DEVF,PLUMBING,Mike Guelda,Bathroom sink clog.,"Bathroom sink clogged. 

Removed Ptrap. 
Hair stuck in drain. 
Removed hair clog. 

Ran water to test.
Drain flows freely after repair.",1.0,02/16/2023 08:00,02/16/2023 09:00,1,,514 Compton Street,Louisville,KY,40208
T6TECB,PLUMBING,Mike Guelda,Drywall repair,"Sanded and coated with mud. 
Will return to sand and paint at next visit.",1.0,02/16/2023 09:30,02/16/2023 10:30,A8,,4604 Southern Parkway,Louisville,KY,40214
THX44X2,ELECTRICAL,Mike Guelda,Multiple repairs,"Light in bathroom was a switch outlet stack. 
The outlet was not functioning due to a lack of neutral wire in box and switch was broken. 
Replaced with new single switch and cover. 

Tubular waste was old and slip joints were leaky. Also both sink baskets were showing signs of leaking. 
Replaced both sink baskets and installed new tubular waste.",2.5,02/16/2023 10:30,02/16/2023 13:00,A10,,4604 Southern Parkway,Louisville,KY,40214
TUF92DR,GENERAL,Mike Guelda,Multiple repairs,"Ceiling fan in dining area, several fan blades were loose, the pull chain for the fan wasn't working at all settings, and there was a lightbulb broken off in one of the fixtures.

Removed lightbulb base from fixture. 
Replaced all lightbulbs. 
Replaced pull chain switch for fan. 
Tightened all fan blade screws. 
Fan and lights all function after repairs. 

Bathroom window frame was coming apart. Installed screws to secure frame. 
Window opens, closes, and locks after repair. 

Bathroom sink was had broken pop up. 
Replaced pop up.",2.5,02/16/2023 13:00,02/16/2023 15:30,A15,,4604 Southern Parkway,Louisville,KY,40214
TANNTQD,PLUMBING,Albert Hardesty,Maintenance,,1.0,02/16/2023 11:00,02/16/2023 12:00,112,,1743 Culbertson Avenue,New Albany,IN,47150
TRKFMG9,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,2.0,02/16/2023 12:00,02/16/2023 14:00,113,,1743 Culbertson Avenue,New Albany,IN,47150
TFPMMWX,PLUMBING,Albert Hardesty,Maintenance,,2.0,02/16/2023 08:00,02/16/2023 10:00,8,,1743 Culbertson Avenue,New Albany,IN,47150
TA76Z0JB,FLOORING,Albert Hardesty,Maintenance,,1.0,02/16/2023 15:00,02/16/2023 16:00,12,,212-216 East 13th Street,New Albany,IN,47150
TVRMD7X,GENERAL,Albert Hardesty,Maintenance,,2.0,02/16/2023 16:00,02/16/2023 18:00,7,,1002 East Main St,New Albany,IN,47150
TMP3XAB,PLUMBING,Albert Hardesty,Maintenance,,3.0,02/16/2023 14:00,02/16/2023 17:00,3,,212-216 East 13th Street,New Albany,IN,47150
TR10XUC,APPLIANCES,Mike Guelda,Dishwasher delivery and installation.,"Removed old broken dishwasher. 
Installed new feed line with appropriate adapter for new dishwasher. 
Installed dishwasher. 
Started cycle to test. 
Dishwasher runs and drains with no leaks.",2.0,02/17/2023 08:00,02/17/2023 10:00,2,,184 Cannon Court,Louisville,KY,40229
TBN8FUM,PLUMBING,Mike Guelda,Multiple repairs.,"Replaced old shower head with new. 

Kitchen sink had debris blocking left side only.
Removed debris. Sink drains properly. 

Bathroom sink had something solid stuck in Ptrap. It was also leaking from pop up and a flex extension under sink. 
Ptrap was glued PVC. 
Cut out Ptrap, installed new PVC adapter and tubular Ptrap. 
Installed new pop up drain into bathroom sink. 
Ran water to test for leaks. 
No leaks and sink drains properly after repairs. 

Replaced storage building knob with kwikset knob and keyed to Tenants key.",2.5,02/17/2023 10:00,02/17/2023 12:30,4,,184 Cannon Court,Louisville,KY,40229
TKKUILIB,LOCKS,Mike Guelda,Storage knob.,"Replaced knob with kwikset keyed knob. 
Set key to V.",1.0,02/17/2023 12:30,02/17/2023 13:30,3,,184 Cannon Court,Louisville,KY,40229
T58P5K7,OTHER_WORK_CATEGORY,Mike Guelda,Multiple repairs,"Source of leaks from faucet was sprayer handle. 
Replaced sprayer handle. 
Faucet works normally after repairs. No leaks. 

Investigated why furnace was not pushing air to back bedrooms. 
Nothing visible in ducts when looking in vents. 
Unable to see ducts from utility closet or attic. 
Referral to Allstate.",1.5,02/17/2023 14:00,02/17/2023 15:30,1,,4621 Silverleaf Dr,Louisville,KY,40213
TGYG6HQ,DRYWALL,Albert Hardesty,Maintenance,,2.0,02/17/2023 12:00,02/17/2023 14:00,2,,3216 Fordhaven Road,Louisville,KY,40214
T6HU99LB,PLUMBING,Albert Hardesty,Maintenance,,2.0,02/17/2023 07:30,02/17/2023 09:30,4,,3216 Fordhaven Road,Louisville,KY,40214
T6HU99LB,PLUMBING,Albert Hardesty,Maintenance,,1.5,02/17/2023 10:00,02/17/2023 11:30,4,,3216 Fordhaven Road,Louisville,KY,40214
TK2F8RFB,PLUMBING,Mike Guelda,Kitchen sink.,"Faucet leaking from sprayer handle. 
Replaced sprayer handle. 

Leak under cabinet caused by loose slip joint. 
Realigned slip joint and tightened slip nut. 
No leak after repairs.",1.0,02/17/2023 17:00,02/17/2023 18:00,B15,,4604 Southern Parkway,Louisville,KY,40214
TKYE1YDB,GENERAL,Mike Guelda,Multiple repairs,"Oven igniter is no longer functional. 
Will order parts and communicate cost. 

Installed mini blinds on 4 windows that didn't have blinds in sunroom. 

Will have to bring toilet paper roll holder with narrow ends when I return to repair the oven. 

Installed new kwikset knob on rear door and keyed to tenants key.",2.5,02/22/2023 08:00,02/22/2023 10:30,1,,206 Millview Street,Sellersburg,IN,47172
TQ0YTBB,PLUMBING,Mike Guelda,Ceiling leak.,"Tenant states that leak occured once and has not happened again. 

Could not get access to apartment above.

Assumed that it was a one time overflow event. 

Caulked holes in paint from leak. 

Will return if it occurs again.",1.0,02/22/2023 11:00,02/22/2023 12:00,3,,1747 East Oak Street,New Albany,IN,47150
T44X7LQ,DOORS,Mike Guelda,Key change.,"Keyed to B key. 
2 keys given to tenant.",1.0,02/22/2023 12:00,02/22/2023 13:00,8,,1002 East Main St,New Albany,IN,47150
TMITM16,PLUMBING,Mike Guelda,Caulk repair in 212,"Found gaps in caulk and tile grout that would explain leak during shower in unit 212. 

Filled all gaps with caulk.

Dropped.off ceiling tile at 112.",1.5,02/22/2023 12:30,02/22/2023 14:00,112,,1743 Culbertson Avenue,New Albany,IN,47150
TIZVUDI,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,2.0,02/22/2023 10:00,02/22/2023 12:00,3,,2211 Gerald Court,Louisville,KY,40218
TG7N7MH,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,2.0,02/22/2023 08:00,02/22/2023 10:00,2,,2211 Gerald Court,Louisville,KY,40218
TGYG6HQ,DRYWALL,Albert Hardesty,Maintenance,,2.0,02/22/2023 11:00,02/22/2023 13:00,2,,3216 Fordhaven Road,Louisville,KY,40214
T6HU99LB,PLUMBING,Albert Hardesty,Maintenance,,2.0,02/22/2023 13:00,02/22/2023 15:00,4,,3216 Fordhaven Road,Louisville,KY,40214
TYYD2UT,DOORS,Albert Hardesty,Maintenance,,1.5,02/22/2023 07:30,02/22/2023 09:00,2,,601 Revolutionary Road,Louisville,KY,40214
TQE83WE,PLUMBING,Albert Hardesty,Maintenance,,2.0,02/22/2023 14:00,02/22/2023 16:00,4,,2211 Gerald Court,Louisville,KY,40218
TG3D24P,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,,2.0,02/22/2023 14:00,02/22/2023 16:00,1,,254 Eldorado Avenue,Louisville,KY,40218
TXN671N,CIRCUIT_BREAKER,Albert Hardesty,Maintenance,,2.0,02/22/2023 18:00,02/22/2023 20:00,1A,,300 Keeneland Drive,Elizabethtown,KY,42701
T65XUNDB,ELECTRICAL,Albert Hardesty,Maintenance,,1.5,02/22/2023 20:00,02/22/2023 21:30,1B,,306 Keeneland Drive,Elizabethtown,KY,42701
TR7HANL,PLUMBING,Mike Guelda,Toilet clog.,"Toilet stopped up. 
Snaked toilet, removed clog. 
Toilet flushes after repair.",1.0,02/23/2023 08:00,02/23/2023 09:00,514,,754 Marian Village Drive,Shelbyville,KY,40065
T75GJE7,ELECTRICAL,Mike Guelda,Breaker reset.,"Breaker for upstairs lights is GFCI breaker. 
When oven shorted to ground wire it triggered GFCI. 
Reset breaker. 
Power restored to upstairs lights.",1.0,02/23/2023 08:00,02/23/2023 09:00,862,,754 Marian Village Drive,Shelbyville,KY,40065
TILB6RQ,TOWEL_BARS,Mike Guelda,Multiple repairs,"Back door weather strip was bent during install. 
Glued a small strip of foam rubber insulation to push strip back into place. 
No light visible after repair.

Towel bar brackets were loose.
Installed new screws to tighten. 
Caulked brackets. 
Bar is firm after repair.",1.0,02/23/2023 09:00,02/23/2023 10:00,860,,754 Marian Village Drive,Shelbyville,KY,40065
