Unit,Property Name,Address line 1,City,State,Postal code,Meld creation date,Tenant presence required,Work category,Work location,Priority,Detailed description,Description,Meld status,Meld number,Started,Due date,Meld completion date,Meld completion notes,Meld canceled,Meld cancel reason,Meld reason not completed,Meld rating,Tags,Review Date,Tenant review,Assignee,Maintenance notes,Vendor accept date,Appointment,Meld URL,Propertyware work order,Rent Manager service issue
113,,1743 Culbertson Avenue,New Albany,IN,47150,05/19/2023 13:36,No,Plumbing,Bedroom,High,There is water leaking through the baseboard into the bedroom. It's an active water leak. ,Water Leak,Completed,TQR9TQ5,05/19/2023 14:28,,05/19/2023 14:30,"05/19/23 06:13 PM by Derrick Norberg

Leak seem to be from shower head hitting back wall and coming down side of tub. Recommend installing splash guard on tub to keep water inside the tub. Found no active leaks, or any other issues.",,,,,,,,Dixie Plumbing,,05/19/2023 14:28,05/19/2023 14:30,https://app.propertymeld.com/1912/m/1912/meld/5374822/summary/,,
3,,2322 West Chestnut Street - 3,Louisville,KY,40211,05/19/2023 13:22,No,Doors,Door,High,Front door glass needs to be fixed properly. She is afraid that someone can easily break in. ,Front door ,Completed,TIETI00,06/02/2023 17:44,,06/05/2023 11:00,,,,,,,,,Jonathan Guyton,,,06/05/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5374724/summary/,,
730,,730 Zane Street,Louisville,KY,40203,05/19/2023 12:53,No,Heating/AC,Home,Medium,"Need estimate from Allstate. The owner received a quote from Derby City in the amount of $4K to replace compressor and a few other things. Derby City claims they did not install the unit, but he did mention it was installed backwards. Now, the owner wants us to give him a second opinion estimate. ",No air (clone),Completed,TYCZPA5,05/22/2023 09:26,,05/23/2023 09:30,"Came to give quote on bad compressor, when arrived found compressor running fine. Found system low on 410A. Called LREI, they approved stop leak and charging the system.
Added stop leak and charged system with 6lbs of 410A. Everything is working at this time.",,,,,,,,Allstate Mechanical,,05/22/2023 09:26,,https://app.propertymeld.com/1912/m/1912/meld/5374460/summary/,,
B7,,4604 Southern Parkway - B7,Louisville,KY,40214,05/19/2023 12:15,No,Heating/AC,B7,Low,"HVAC inspection will be May 22nd @10:30am

Resident is aware and has given permission for us to be present",HVAC inspection,Completed,TMEWRKIB,05/19/2023 14:21,,05/22/2023 10:00,,,,,,,,,Mike Guelda,,,05/22/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5374135/summary/,,
1,,2300 Cherian Drive,Jeffersontown,KY,40299,05/19/2023 11:52,Yes,Exterior,backyard fence,High,"Per Mike Kelly, ""section of fence that has blown over and by the looks of it, fence posts are rotting.  I would like to meet with someone at the house to show exactly what needs to be addressed.  Please let me know when someone is available asap.""",Fence fell down in rear (clone),Completed,TWFIEVV,05/22/2023 15:45,,05/23/2023 08:00,,,,,,,,,Jonathan Guyton,,,05/23/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5373926/summary/,,
649-4,,649 S 44th Street -4,Louisville,KY,40211,05/19/2023 11:32,No,General,649 #4,Low,"Please complete necessary repairs for upcoming annual section 8 inspection

Inspection is scheduled for 6/2",Section 8 Inspection Repairs,Completed,TKY70YC,05/19/2023 12:42,,05/23/2023 19:00,,,,,,,,,Albert Hardesty,,,05/23/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5373755/summary/,,
649-2,,649 S 44th Street -2,Louisville,KY,40211,05/19/2023 11:29,No,General,649 #2,Low,"Please complete necessary repairs for upcoming annual section 8 inspection

Inspection is scheduled for 6/2",Section 8 Inspection repairs,Completed,T0TUK11,05/19/2023 13:02,,05/21/2023 16:00,,,,,,Section 8,,,Albert Hardesty,,,05/23/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5373731/summary/,,
9,,1603 Gagel Avenue - 9,Louisville,KY,40216,05/19/2023 11:25,Yes,Heating/AC,APARTMENT,Low,"The current temperature is 70 degrees.
The tenant reported that it's not working as it should be. 
The filters are clean.",AC,Completed,T50N35F,05/25/2023 07:42,,06/01/2023 16:12,,,,,,,,,Allstate Mechanical,,05/25/2023 07:42,,https://app.propertymeld.com/1912/m/1912/meld/5373697/summary/,,
1,,707 Kentucky Avenue,Louisville,KY,40222,05/19/2023 11:17,No,Other,Kitchen & Front Door,Low,"The front door needs to be fixed. It's not shutting. She removed something from the door and it's shutting now but needs fixing. 
Oven isn't working. Last night it started to spark a fire.",Oven & Door,Pending completion,TVZ4L5N,06/08/2023 16:56,06/16/2023,,,,,,,Waiting on Parts,,,Service Team,Jonathan ordered parts,,06/09/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5373610/summary/,,
1,,131 South 38th Street,Louisville,KY,40212,05/19/2023 10:50,No,Cleaning,"Basement area, Basement door lock replace",High,You have to go inside unit 1 to get in the basement due to the keys we have do not work from the outside but need to change those locks so we can have access. The res in unit#1 does have a hearing problem and do not trust anyone he hasn't met yet. Please schedule Chrystal with maintenance to work with res.,Need to get in basement for cleaning of mildew/ Door lock replace,Pending more management availability,TFI8QWKB,,,,,,,,,SFH - West,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5373337/summary/,,
3,,1743 Culbertson Avenue,New Albany,IN,47150,05/19/2023 10:40,No,Appliances,Laundry Room,High,"The dryers are still not working properly. The one next to the washers still shuts off after about 15 minutes. Have to push the start button after a period to restart it.
The middle dryer looks like all they did was fix the coin slot. It is still not vented the room heats up and the window on the door fogs up when in use. I would think this is some kind code violation.
The one on the end has never worked properly. Did not even waste my money on it.
This has been going on for sometime now. First email sent on 4-14.Could you please let me know when/if this is going to be handled?
","Dryer, washer",Canceled by manager,T714IJ1,,,,,05/23/2023 12:46,I created a new work order for this and getting it scheduled.,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5373243/summary/,,
1,,3704 Dayton Avenue,Saint Matthews,KY,40207,05/19/2023 09:55,Yes,Plumbing,Kitchen,Medium,"The kitchen sink isn't draining, we're thinking this is due in part to the garbage disposal not turning on/continuing to leak since the last time you all were out here. 

Other items:

The back screen glass door got unhooked somehow, looks like it needs to be bolted back on

The second gate adjacent to the garage hasn't had a lock on it since we've moved in. Since we use it to make sure our kids are safe and enclosed while they're playing in the backyard, we'd like to request a lock be installed if possible.

The right sink in the primary bathroom isn't draining very well.

The roof gutter above the garage door appears to be clogged and is leaking a bunch of (concerning) green liquid.",sink isn't draining and other items,Completed,TWZGTBMB,05/19/2023 14:07,,05/23/2023 13:00,,,,,3,,05/26/2023 11:51,"The gutter was never looked at for the garage (I forgot about it), we would not like this individual in our home again as he was quite unprofessional in the state he left things / his communication. He told us that he would be ordering a replacement garbage disposal + locks for the kids' room closet doors + a lock for the gate next to the garage in the backyard, all of that still has to be done as soon as possible. Thank you all!!!",Jonathan Guyton,,,05/23/2023 13:00,https://app.propertymeld.com/1912/m/1912/meld/5372917/summary/,,
5,,601 Revolutionary Road - 5,Louisville,KY,40214,05/19/2023 09:37,No,Appliances,Kitchen,Medium,Refrigerator is not working. She is not sure if it's the power issue or the refrigerator.,Refrigerator,Completed,T87QYNHB,,,05/19/2023 14:24,,,,,,,,,Mike Guelda,,,,https://app.propertymeld.com/1912/m/1912/meld/5372814/summary/,,
1,,327 North 36th Street,Louisville,KY,40212,05/19/2023 07:09,No,Other,Whole house,Low,Walk the property and inspect condition. Discuss month to month lease with new owners.,Check Newly Onboarded Property Condition,Pending more vendor availability,TV7Z7JM,05/19/2023 18:53,05/26/2023,,,,,,,,,,GNCS LLC,,05/19/2023 18:53,,https://app.propertymeld.com/1912/m/1912/meld/5372342/summary/,,
1,,731 Sutcliffe Avenue,Louisville,KY,40211,05/18/2023 19:48,No,Doors,House,Low,Tenant is locked out. ,Locked out,Completed,TFK10HN,,,05/18/2023 19:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5371336/summary/,,
1,,9410 Michael Edward Drive,Louisville,KY,40291,05/18/2023 17:30,Yes,Doors,Front door,Medium,"
Screen door handle removed prior to move in",Screen door handle removed prior to move in,Canceled by manager,TAVIKE,,,,,05/18/2023 17:34,Added to the meld T50MV2KB,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5370562/summary/,,
1,,9410 Michael Edward Drive,Louisville,KY,40291,05/18/2023 17:26,Yes,Doors,Family room,Medium,"The closet door is completely off of its hinges and missing parts.
Screen door handle removed prior to move in.

When originally looking at the house before leasing we noticed standing water and an odor coming from dishwasher. We told the property management company about it multiple times and were told it would be fixed prior to us moving in. We are now settled in the home and it is still not fixed. Would appreciate someone to come out and address the standing water.",Multiple Issues,Completed,T50MV2KB,05/22/2023 15:52,,05/23/2023 09:00,,,,,2,,05/23/2023 21:37,The dishwasher still has standing water. The screen door handle is easily jammed and the closet door gets stuck closed,Jonathan Guyton,,,05/23/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/5370548/summary/,,
1,,9410 Michael Edward Drive,Louisville,KY,40291,05/18/2023 17:20,No,Appliances,Kitchen,Medium,When originally looking at the house before leasing we noticed standing water and an odor coming from dishwasher. We told the property management company about it multiple times and were told it would be fixed prior to us moving in. We are now settled in the home and it is still not fixed. Would appreciate someone to come out and address the standing water. Thank you.,Standing water in dishwasher,Canceled by manager,TEC6R4F,,,,,05/18/2023 17:34,Added to the meld T50MV2KB,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5370504/summary/,,
2A,,402 North Hite Avenue,Louisville,KY,40206,05/18/2023 16:56,No,Plumbing,Bathroom,Medium,The toilet is draining slowly. He tried to plunge it but it's still draining slowly. ,Toilet,Completed,THLDLJCB,,,05/19/2023 20:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5370316/summary/,,
1,,9002 Whippoorwill Road,Louisville,KY,40229,05/18/2023 16:33,Yes,Washer/Dryer,Laundry Room,Medium,Sometimes dryer does not always completely dry our clothes through first cycle and may have to run it twice. We make sure its never packed for that reason but still sometimes not dry all the way wasn't not sure if it's losing its heating element or something different.,Dryer seems to not be completely drying,Pending more management availability,T2XJRAW,,,,,,,,,SFH - East,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5370106/summary/,,
617-2,,617 S 44th Street -2,Louisville,KY,40211,05/18/2023 14:41,No,Locks,617 #2,Low,"Please be present for sheriff set out Monday, May 22nd @2oclock

Ensure unit is secured and locks changed",Sheriff Set Out (clone),Completed,T9RC8AM,05/19/2023 11:34,,05/22/2023 14:00,,,,,,,,,Jonathan Guyton,,,05/22/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/5369006/summary/,,
617-2,,617 S 44th Street -2,Louisville,KY,40211,05/18/2023 14:40,No,Cleaning,617 #2,Low,"Please be present for sheriff set out Monday, May 22nd @2oclock",Sheriff Set Out,Completed,TQ1ZP4AB,05/18/2023 19:57,,05/22/2023 14:00,,,,,,,,,Garcias cleaning llc ,,05/18/2023 19:57,05/22/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/5369001/summary/,,
2305,,2305 Rodman,Louisville,KY,40208,05/18/2023 14:40,No,Other,front/back/parking lot & dumpster area,High,Can we please get the whole property cleaned up Friday Morning. Thanks,Property clean up Friday Morning,Pending completion,T6L6YC,05/18/2023 19:59,,,,,,,,,,,Garcias cleaning llc ,,05/18/2023 19:59,05/19/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5369000/summary/,,
1,,3508 Janell Road,Louisville,KY,40216,05/18/2023 14:38,No,Cleaning,front yard,Low,"Please pick up mattress and bedframe that was left in the front yard
Items inside need to be removed too

Lockbox 0987",Furniture pick up / Trash out,Completed,T5K3XFKB,05/18/2023 20:00,,05/19/2023 11:45,,,,,,,,,Garcias cleaning llc ,,05/18/2023 20:00,05/19/2023 11:45,https://app.propertymeld.com/1912/m/1912/meld/5368979/summary/,,
1,,1208 Queen Avenue,Louisville,KY,40215,05/18/2023 14:35,No,Plumbing,Basement,Medium,Install new toilet,Toilet Installation (clone) (clone) (clone),Completed,T2CH2PM,,,05/18/2023 18:30,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5368933/summary/,,
1B,,304 Keeneland Drive - 1B,Elizabethtown,KY,42701,05/18/2023 14:13,No,Garbage Disposal,Kitchen sink ,Low,"Garbage disposal has not worked since they moved in. 
",Garbage Disposal ,Completed,TKEQX43,05/26/2023 18:37,,05/30/2023 09:30,,,,,,,,,Albert Hardesty,,,05/30/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5368756/summary/,,
1B,,304 Keeneland Drive - 1B,Elizabethtown,KY,42701,05/18/2023 14:11,No,Heating/AC,Laundry,Medium,"A/C not working, will turn on but does not get cold air.",A/C not working,Completed,T8P8HBC,05/19/2023 07:54,,05/26/2023 11:45,Owner decided to use his own vendor ,,,,,,,,Allstate Mechanical,,05/19/2023 07:54,,https://app.propertymeld.com/1912/m/1912/meld/5368735/summary/,,
101,,4522 Winnrose Way 101,Louisville,KY,40211,05/18/2023 13:59,No,Flooring,APARTMENT,Low,Tenant is requesting to replace the carpet with brown tiles.,Carpet,Pending more vendor availability,TCJGXAIB,06/08/2023 13:54,,,,,,,,,,,LREI Turns,,06/08/2023 13:54,,https://app.propertymeld.com/1912/m/1912/meld/5368626/summary/,,
1,,4900 Saddlebrook Lane - 1,Louisville,KY,40216,05/18/2023 13:44,No,Locks,Mailboxes for both buildings,Low,"Mail carrier let us know that many of the mailboxes won't shut/lock or their are keys missing. This is for both sets of mailboxes.

Please provide two estimates:
-Replace damaged locks on existing mailboxes
-Replace mailboxes entirely",Mailboxes,Completed,TR3011J,05/18/2023 14:57,,05/20/2023 16:30,,,,,,,,,Albert Hardesty,,,05/19/2023 14:00,https://app.propertymeld.com/1912/m/1912/meld/5368506/summary/,,
42,,111 E O'Bryan Avenue-42,Bardstown,KY,40004,05/18/2023 13:40,No,Pest control,Bathroom,Medium,Mold underneath the bathroom sink. ,Mold,Completed,TJCQL6I,,,05/22/2023 09:00,Done ,,,,,,,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5368468/summary/,,
1,,9801 Cooper Church Drive,Louisville,KY,40229,05/18/2023 13:15,No,Doors,Basement,Medium,White Basement door rotting,Basement door rotting (clone),Completed,TP6G1EE,06/19/2023 16:16,,06/20/2023 08:00,,,,,,,,,Mike Guelda,,,06/20/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5368175/summary/,,
7A,,402 North Hite Avenue,Louisville,KY,40206,05/18/2023 13:08,No,Heating/AC,APARTMENT,Low,short in the thermostat knob needs a new thermostat  still needs to be repaired,Thermostat,Completed,T8C0CV9,06/07/2023 12:07,,06/09/2023 10:30,,,,,,,,,Albert Hardesty,,,06/09/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5368087/summary/,,
3A,,402 North Hite Avenue,Louisville,KY,40206,05/18/2023 13:07,No,Heating/AC,APARTMENT,Low,missing thermostat cover still needs to be repaired,Thermostat,Canceled by manager,T7J28G7,06/07/2023 12:03,,,,06/07/2023 12:16,Tenant said that everything is good.,,,,,,Albert Hardesty,,,06/08/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5368080/summary/,,
1,,4909 Saddlebrook Lane - 1,Louisville,KY,40216,05/18/2023 12:01,No,Plumbing,Bathroom,Medium,Bathtub is backed up. The sewer is coming out of the toilet. Tenant reported that the bathtub is backed up again. ,Bathtub (clone),Completed,T8U7CXT,05/18/2023 12:02,,05/18/2023 12:15,"05/18/23 02:01 PM by Jon Greenwell
Tub clogged at arrival, used K50 sewer machine and two cables to remove blockage. Test tub by running water from tub valve, tub draining properly at departure.",,,,,,,,Dixie Plumbing,,05/18/2023 12:02,05/18/2023 12:15,https://app.propertymeld.com/1912/m/1912/meld/5367408/summary/,,
V10,,3320 Bardstown Road - V10,Louisville,KY,40218,05/18/2023 11:55,No,Plumbing,Bathroom,Medium,The vanity drain is clogged. The service tech snaked it but it's still clogged.,Vanity drain,Completed,TQ6KEH9,05/18/2023 11:59,,05/18/2023 12:00,"05/18/23 01:57 PM by James Scoggins
Upon arrival to unit v10 lavatory sink in bathroom has a blockage. Attempted with sink machine with no progress after multiple tries and attempts with k50 finally got it draining. Cleaned up made sure sink took water.",,,,,,,,Dixie Plumbing,,05/18/2023 11:59,05/18/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5367355/summary/,,
113,,1743 Culbertson Avenue,New Albany,IN,47150,05/18/2023 11:50,No,Doors,Door,Medium,Tenant reported that the key fob is not working on any doors. ,Key Fob,Completed,TCB6T4B,05/23/2023 15:35,,05/25/2023 12:00,,,,,,Multi-Indiana,,,Jonathan Guyton,,,05/25/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5367304/summary/,,
2315,,2315 Rodman,Louisville,KY,40208,05/18/2023 11:45,No,Smoke Detector/CO detectors,Interior,Low,missing two smoke detectors,Smoke Detector,Completed,T955KVR,05/23/2023 15:05,,05/24/2023 19:00,,,,,,,,,Albert Hardesty,,,05/24/2023 13:30,https://app.propertymeld.com/1912/m/1912/meld/5367259/summary/,,
3944-4,,3944 South 3rd Street - 4,Louisville,KY,40214,05/18/2023 11:44,Yes,Windows,living room,Low,"Living room window is off track/possibly broken
Window will not open

These items need to be corrected prior to reinspection on June 10",Window Repair,Completed,TDTXL2W,06/08/2023 17:17,,06/09/2023 15:00,,,,,,,,,Jonathan Guyton,,,06/09/2023 15:00,https://app.propertymeld.com/1912/m/1912/meld/5367255/summary/,,
1,,118 Daryl Ct,Louisville,KY,40214,05/18/2023 11:37,No,Other,Interior,Medium,"kitchen sink continues to leak (repair person has been out before)
Tenants don't know how to change bulb in kitchen fixture
Paint (/ceiling surface) is peeling in Bedroom One (needs patch and matching paint)
Closet doors in Bedroom2 and Bedroom3 do not stay on track(s)",Multiple Issues,Completed,TVM1L1D,05/18/2023 14:49,,05/19/2023 14:00,,,,,,,,,Albert Hardesty,,,05/19/2023 10:00,https://app.propertymeld.com/1912/m/1912/meld/5367183/summary/,,
1,,2750 Montana Avenue,Louisville,KY,40208,05/18/2023 11:33,No,Other,Interior,Low,"two dents in living room wall need patching and paint
Door to crawl space (back yard) is broken with large gaps",Multiple Issues,Completed,TKBFY0BB,05/31/2023 17:52,,06/01/2023 11:00,,,,,,,,,Mike Guelda,,,06/01/2023 11:00,https://app.propertymeld.com/1912/m/1912/meld/5367140/summary/,,
1,,1312 Lillian Avenue,Louisville,KY,40208,05/18/2023 11:30,No,Other,Exterior,Low,"latch on gate is missing parts
Exterior Siding on left side is disconnecting",Multiple Issues,Completed,TR9PQXFB,06/08/2023 16:19,,06/09/2023 09:00,,,,,,,,,Mike Guelda,,,06/09/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/5367106/summary/,,
1,,3513 Manslick Road,Louisville,KY,40215,05/18/2023 11:19,No,Cleaning,House,Low,Please clean carpets throughout. Vacant Property. On a V key and lockbox code: 0987.,Clean Carpets,Completed,TX49Z95,05/18/2023 11:28,,05/24/2023 15:01,,,,,,,,,Deluxe Carpet cleaning,,05/18/2023 11:28,05/24/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/5366999/summary/,,
1,,3511 Manslick Road,Louisville,KY,40215,05/18/2023 11:18,No,Cleaning,House,Low,Please clean carpets throughout. Vacant Property. On a V key and lockbox code: 0987.,Clean Carpets,Completed,TZEU70R,05/18/2023 11:27,,05/24/2023 15:01,,,,,,,,,Deluxe Carpet cleaning,,05/18/2023 11:27,05/24/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/5366994/summary/,,
1,,3509 Manslick Road,Louisville,KY,40215,05/18/2023 11:17,No,Cleaning,House,Low,Please clean carpets throughout. Vacant Property. On a V key and lockbox code: 0987.,Clean Carpets,Completed,T9R0TEV,05/18/2023 11:27,,05/24/2023 15:02,,,,,,,,,Deluxe Carpet cleaning,,05/18/2023 11:27,05/24/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/5366988/summary/,,
1,,3507 Manslick Road,Louisville,KY,40215,05/18/2023 11:17,No,Cleaning,House,Low,Please clean carpets throughout. Vacant Property. On a V key and lockbox code: 0987.,Clean Carpets,Completed,T7YZ9KD,05/18/2023 11:24,,05/24/2023 15:01,,,,,,,,,Deluxe Carpet cleaning,,05/18/2023 11:24,05/24/2023 09:00,https://app.propertymeld.com/1912/m/1912/meld/5366981/summary/,,
1,,12613 East Orell Road - 1,Louisville,KY,40272,05/18/2023 11:06,No,Plumbing,Unit #1,Medium,"Please provide permit for water heater

Vacant unit
",Water heater permit,Completed,T24H6FD,05/18/2023 12:01,,05/18/2023 12:15,,,,,,,,,Dixie Plumbing,,05/18/2023 12:01,05/18/2023 12:15,https://app.propertymeld.com/1912/m/1912/meld/5366880/summary/,,
2430-104,,2430 McKindree Ct-104,Louisville,KY,40211,05/18/2023 11:05,No,General,APARTMENT,Low,"Bathroom tub
Laundry room ceiling and light
Bathroom sink
Kitchen sink unstopped
Water damage in bathroom
Ceiling in the kitchen
Closet door fixed
Dishwasher
Filter change",Multiple issues,Completed,TICU31MB,05/24/2023 10:56,,05/25/2023 08:00,,,,,,,,,Mike Guelda,,,05/25/2023 08:00,https://app.propertymeld.com/1912/m/1912/meld/5366878/summary/,,
1,,9801 Cooper Church Drive,Louisville,KY,40229,05/18/2023 09:54,No,Exterior,Side of house,Medium,The owner approves the estimate and had decided that he wants us to handle the repair due to it being on the roof,Siding is falling/ripping off house (clone),Completed,TKF1NRX,05/24/2023 17:45,,05/24/2023 18:30,,,,,,,,,"Anytime Roofing & Repairs, LLC",,05/24/2023 17:45,05/24/2023 18:30,https://app.propertymeld.com/1912/m/1912/meld/5366343/summary/,,
6,,4730 Southern Parkway - 6,Louisville,KY,40214,05/18/2023 09:05,Yes,Windows,Bedroom,Low,tenant requests that glass for window in bedroom be replaced because it is currently cracked.,Window (clone),Pending more vendor availability,T46P2GY,05/18/2023 09:40,,,,,,,,,,,LREI Turns,,05/18/2023 09:40,,https://app.propertymeld.com/1912/m/1912/meld/5366015/summary/,,
1,,4909 Saddlebrook Lane - 1,Louisville,KY,40216,05/18/2023 08:16,No,Plumbing,Bathroom,Medium,Bathtub is backed up. ,Bathtub,Canceled by manager,T8XHL5D,,,,,05/18/2023 12:03,,,,Multi- South End,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5365785/summary/,,
706,,704-706 Roselane Street - 706,Louisville,KY,40203,05/18/2023 08:11,No,General,Filter and smoke detector,High,Change filter and batteries to smoke detector.,Change filter and batteries to smoke detector,Completed,T3PH7VG,05/31/2023 18:00,,06/02/2023 18:00,,,,,,,,,Albert Hardesty,,,06/02/2023 13:00,https://app.propertymeld.com/1912/m/1912/meld/5365760/summary/,,
102,,1743 Culbertson Avenue,New Albany,IN,47150,05/17/2023 23:03,Yes,General,Unit 102,Low,"-Stove is not working properly. Takes a long time to heat up
-Thermostat doesn't shut off
-Windows do not open
-Bathroom tub and sink need to be recaulked
-Holes in the corner of the bedroom ceiling
-Crack by bathroom closet
-tiles are old and worn
-wants unit repainted
-carpet is old and worn",Multiple Issues (clone) (clone),Canceled by manager,T0P7GJH,,,,,06/29/2023 12:24,This is being closed out and a new one will  be open once we receive approval from the owner if he we can paint.,,,"Al Incomplete,Multi-Indiana",,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5364950/summary/,,
1A,,402 N. Hite Ave,Louisville,KY,40206,05/17/2023 22:53,No,Heating/AC,entire property,Low,"Allstate will be switching heat over to ac

Please enter each unit and make this switch",AC switch over (clone) (clone) (clone),Canceled by manager,TMFIQXQ,,,,,06/15/2023 10:22,,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5364925/summary/,,
4,,8801 Malvern Hill Road - 4,Louisville,KY,40242,05/17/2023 21:42,No,Windows,Master bedroom,Medium,"Slammed my bedroom's door and my window literally fell down. Also, most of my windows don’t have screens",Window is broken,Canceled by manager,TI1BWMIB,,,,,05/19/2023 14:00,Added to the meld TNN8WN0,,,,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5364740/summary/,,
20,,111 E O'Bryan Avenue-20,Bardstown,KY,40004,05/17/2023 21:41,No,Pest control,Kitchen ,Low,,Mice,Completed,TRQUZX8,,,05/17/2023 16:00,Done ,,,,,,,,Bill Sweeney,,,,https://app.propertymeld.com/1912/m/1912/meld/5364738/summary/,,
8A,,402 North Hite Avenue,Louisville,KY,40206,05/17/2023 17:46,No,Heating/AC,APARTMENT,High,Service tech had to turn blower over by hand it's turning but slowly.,AC,Completed,T624QRK,05/18/2023 07:49,,06/05/2023 16:11,,,,,,,,,Allstate Mechanical,,05/18/2023 07:49,,https://app.propertymeld.com/1912/m/1912/meld/5363685/summary/,,
623-2,,623 S 44th Street -2,Louisville,KY,40211,05/17/2023 17:19,No,Plumbing,Kitchen,Medium,There is a black mold coming underneath the kitchen sink.,Black Mold,Completed,TXWTVUIB,05/19/2023 13:11,,05/23/2023 15:00,,,,,,,,,Albert Hardesty,,,05/23/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5363512/summary/,,
1A,,402 N. Hite Ave,Louisville,KY,40206,05/17/2023 17:17,No,Heating/AC,entire property,Low,"Allstate will be switching heat over to ac

Please enter each unit and make this switch",AC switch over (clone) (clone),Completed,TWXIWBX,,,05/17/2023 15:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5363492/summary/,,
1B,,402 North Hite Avenue,Louisville,KY,40206,05/17/2023 16:55,No,Heating/AC,APARTMENT,High,the air handler has caught on fire.,Air Handler,Completed,T6UWCBK,05/18/2023 07:47,,05/26/2023 10:38,,,,,,,,,Allstate Mechanical,,05/18/2023 07:47,,https://app.propertymeld.com/1912/m/1912/meld/5363291/summary/,,
1,,10786 Millers Lane,Louisville,KY,40272,05/17/2023 16:53,Yes,Plumbing,unit,Medium,The drains are backing up in the home ,Drains (clone),Completed,TH6679HB,05/17/2023 16:55,,05/24/2023 17:34,"05/20/23 01:15 PM by Derrick Norberg
Snaked out main sewer line multiple times pull some wipes out
Ran camera to see what pipe looks like tenant said it happen multiple times
Found three areas with roots coming in to pipe

05/18/23 08:11 AM by James Scoggins
Upon arrival tenant anwserd and told me to leave. That she is calling 411 to take pictures and get the problem resolved. Unsure. Left called office.",,,,,,,,Dixie Plumbing,,05/17/2023 16:55,,https://app.propertymeld.com/1912/m/1912/meld/5363273/summary/,,
1B,,402 North Hite Avenue,Louisville,KY,40206,05/17/2023 16:50,No,Doors,Door,Low,Door lock repairs. ,Door Lock,Completed,TCA159D,,,05/17/2023 18:00,,,,,,,,,Albert Hardesty,,,,https://app.propertymeld.com/1912/m/1912/meld/5363238/summary/,,
114,,4522 Winnrose Way 114,Louisville,KY,40211,05/17/2023 16:49,Yes,Cleaning,Unit,Low,"Please clean carpets in the high traffic areas

Pictures are attached to this work order",Carpet,Completed,TN9XX3P,05/17/2023 17:00,,05/25/2023 17:56,,,,,,Tax Credit,,,Deluxe Carpet cleaning,,05/17/2023 17:00,05/25/2023 13:30,https://app.propertymeld.com/1912/m/1912/meld/5363230/summary/,,
14,,603 Revolutionary Road - 14,Louisville,KY,40214,05/17/2023 16:17,No,Plumbing,Bathroom,Medium,The bathtub drain that stops the water from draining is broken and it needs to be fixed. ,Bathtub,Completed,TQTX08FB,05/18/2023 14:29,,05/19/2023 12:00,,,,,,,,,Mike Guelda,,,05/19/2023 12:00,https://app.propertymeld.com/1912/m/1912/meld/5362923/summary/,,
